Line-ID,Population,ACCESSION,Species,Race,Latitude,Longitude,Altitude
JSG_Y_RMM_458,J2Teo,JSG_Y_RMM_458,Zea mays ssp. parviglumis,Balsas,18.805,-100.946,635
JSG_Y_RMM_457,J2Teo,JSG_Y_RMM_457,Zea mays ssp. parviglumis,Balsas,18.820,-100.916,654
JSG_RMM_LCL_523,J2Teo,JSG_RMM_LCL_523,Zea mays ssp. parviglumis,Balsas,18.842,-100.238,958
JSG_RMM_LCL_524,J2Teo,JSG_RMM_LCL_524,Zea mays ssp. parviglumis,Balsas,18.899,-100.181,1422
JSG_RMM_LCL_473,J2Teo,JSG_RMM_LCL_473,Zea mays ssp. parviglumis,Balsas,18.953,-99.503,1901
JSG_RMM_LCL_517,J2Teo,JSG_RMM_LCL_517,Zea mays ssp. parviglumis,Balsas,18.963,-101.058,870
JSG_RMM_LCL_474,J2Teo,JSG_RMM_LCL_474,Zea mays ssp. mexicana,Chalco,18.975,-99.030,1654
JSG_RMM_LCL_514,J2Teo,JSG_RMM_LCL_514,Zea mays ssp. parviglumis,Balsas,19.063,-101.283,832
JSG_JMHC_629,J2Teo,JSG_JMHC_629,Zea mays ssp. mexicana,Chalco,19.074,-97.431,2670
JSG_JMHC_634,J2Teo,JSG_JMHC_634,Zea mays ssp. mexicana,Chalco,19.079,-98.845,2485
JSG_RMM_LCL_476,J2Teo,JSG_RMM_LCL_476,Zea mays ssp. mexicana,Chalco,19.082,-98.776,2480
JSG_437,J2Teo,JSG_437,Zea mays ssp. mexicana,Chalco,19.086,-98.489,2475
JACV_T_082,J2Teo,JACV_T_082,Zea mays ssp. parviglumis,Balsas,19.146,-101.430,1219
JSG_RMM_LCL_534,J2Teo,JSG_RMM_LCL_534,Zea mays ssp. parviglumis,Balsas,19.148,-100.355,1178
JSG_JMHC_637,J2Teo,JSG_JMHC_637,Zea mays ssp. mexicana,Chalco,19.155,-98.775,2470
JSG_JMHC_631,J2Teo,JSG_JMHC_631,Zea mays ssp. mexicana,Chalco,19.160,-98.186,2311
JSG_JMHC_626,J2Teo,JSG_JMHC_626,Zea mays ssp. mexicana,Chalco,19.171,-97.557,2388
JSG_LCL_676,J2Teo,JSG_LCL_676,Zea mays ssp. parviglumis,Balsas,19.179,-100.255,1345
JSG_RMM_LCL_471,J2Teo,JSG_RMM_LCL_471,Zea mays ssp. mexicana,Chalco,19.203,-99.566,2595
JSG_RMM_LCL_480,J2Teo,JSG_RMM_LCL_480,Zea mays ssp. mexicana,Chalco,19.218,-98.869,2280
JSG_JMHC_614,J2Teo,JSG_JMHC_614,Zea mays ssp. mexicana,Chalco,19.258,-99.467,2592
CIM11362,J2Teo,CIM11362,Zea mays ssp. mexicana,Chalco,19.275,-99.100,2200
JSG_Y_LOS_142,J2Teo,JSG_Y_LOS_142,Zea mays ssp. parviglumis,Balsas,19.293,-103.081,1460
JSG_RMM_558,J2Teo,JSG_RMM_558,Zea mays ssp. parviglumis,Balsas,19.344,-101.944,1170
CIM11400,J2Teo,CIM11400,Zea mays ssp. mexicana,Chalco,19.350,-98.980,2200
JSG_LCL_JRP_MMR_712,J2Teo,JSG_LCL_JRP_MMR_712,Zea perennis,perennis,19.417,-101.938,1385
CIM29379,J2Teo,CIM29379,Zea perennis,perennis,19.418,-101.911,1380
JSG_Y_RMM_463,J2Teo,JSG_Y_RMM_463,Zea mays ssp. mexicana,Chalco,19.422,-101.610,2225
JSG_LCL_554,J2Teo,JSG_LCL_554,Zea mays ssp. mexicana,Balsas,19.441,-103.984,1103
JACV_T_049,J2Teo,JACV_T_049,Zea mays ssp. parviglumis,Balsas,19.443,-100.902,684
JSG_JMHC_639,J2Teo,JSG_JMHC_639,Zea mays ssp. mexicana,Chalco,19.495,-98.921,2254
RMM_11,J2Teo,RMM_11,Zea mays ssp. parviglumis,Balsas,19.528,-104.064,1450
CIM27215,J2Teo,CIM27215,Zea mays ssp. mexicana,Chalco,19.530,-98.843,2280
CIM10003,J2Teo,CIM10003,Zea diploperennis,diploperennis,19.533,-104.217,2250
JSG_RMM_LCL_539,J2Teo,JSG_RMM_LCL_539,Zea mays ssp. parviglumis,Balsas,19.551,-100.918,1342
JSG_RMM_LCL_551,J2Teo,JSG_RMM_LCL_551,Zea diploperennis,diploperennis,19.591,-104.278,1870
JSG_LCL_694,J2Teo,JSG_LCL_694,Zea perennis,perennis,19.635,-103.580,2140
JSG_LCL_695,J2Teo,JSG_LCL_695,Zea perennis,perennis,19.635,-103.567,2174
JSG_LCL_559,J2Teo,JSG_LCL_559,Zea mays ssp. mexicana,Chalco,19.681,-101.736,2410
JSG_RMM_LCL_536,J2Teo,JSG_RMM_LCL_536,Zea mays ssp. mexicana,Mesa,19.686,-100.633,2102
JSG_RMM_LCL_546,J2Teo,JSG_RMM_LCL_546,Zea mays ssp. parviglumis,Balsas,19.704,-104.819,552
JSG_RMM_LCL_548,J2Teo,JSG_RMM_LCL_548,Zea mays ssp. parviglumis,Balsas,19.772,-104.843,635
JSG_Y_RMM_450,J2Teo,JSG_Y_RMM_450,Zea mays ssp. mexicana,Mesa,19.891,-101.179,1855
JACV_T_018,J2Teo,JACV_T_018,Zea mays ssp. mexicana,Mesa,19.927,-101.717,2012
RMM_3,J2Teo,RMM_3,Zea mays ssp. parviglumis,Balsas,19.945,-103.995,984
JSG_LCL_565,J2Teo,JSG_LCL_565,Zea mays ssp. mexicana,Mesa,19.956,-101.317,1848
JSG_Y_RMM_444,J2Teo,JSG_Y_RMM_444,Zea mays ssp. mexicana,Mesa,20.035,-101.469,2186
JSG_Y_RMM_438,J2Teo,JSG_Y_RMM_438,Zea mays ssp. mexicana,Mesa,20.075,-102.060,1910
JSG_LCL_566,J2Teo,JSG_LCL_566,Zea mays ssp. mexicana,Mesa,20.077,-101.976,2055
JSG_Y_RMM_440,J2Teo,JSG_Y_RMM_440,Zea mays ssp. mexicana,Mesa,20.103,-101.947,1775
JSG_Y_LOS_75,J2Teo,JSG_Y_LOS_75,Zea mays ssp. mexicana,Mesa,20.114,-102.896,1700
JSG_LCL_JGRF_586,J2Teo,JSG_LCL_JGRF_586,Zea mays ssp. mexicana,Mesa,20.140,-101.073,2023
JSG_427,J2Teo,JSG_427,Zea mays ssp. parviglumis,Mesa,20.153,-102.364,1574
JSG_426,J2Teo,JSG_426,Zea mays ssp. mexicana,Mesa,20.157,-102.060,1940
JSG_Y_RMM_447,J2Teo,JSG_Y_RMM_447,Zea mays ssp. mexicana,Mesa,20.169,-101.156,1880
JSG_LCL_689,J2Teo,JSG_LCL_689,Zea mays ssp. mexicana,Mesa,20.403,-102.904,1550
JSG_465,J2Teo,JSG_465,Zea mays ssp. mexicana,Mesa,20.421,-102.347,1597
JSG_467,J2Teo,JSG_467,Zea mays ssp. parviglumis,Balsas,20.611,-104.226,1139
JSG_LCL_704,J2Teo,JSG_LCL_704,Zea mays ssp. parviglumis,Balsas,20.626,-104.418,1442
CIM11365,J2Teo,CIM11365,Zea mays ssp. mexicana,Mesa,20.727,-101.949,1710
JSG_LCL_JRP_702,J2Teo,JSG_LCL_JRP_702,Zea mays ssp. parviglumis,Balsas,20.786,-104.543,1153
JLVTKV_717,J2Teo,JLVTKV_717,Zea diploperennis,diploperennis,22.851,-105.122,1410
JLVTKV_719,J2Teo,JLVTKV_719,Zea diploperennis,diploperennis,22.857,-105.107,1392
JLVTKV_720,J2Teo,JLVTKV_720,Zea diploperennis,diploperennis,22.870,-105.105,1393
JSG_SRV_EAM_708,J2Teo,JSG_SRV_EAM_708,Zea mays ssp. mexicana,Durango,24.024,-104.300,1860
JSG_SRV_EAM_705,J2Teo,JSG_SRV_EAM_705,Zea mays ssp. mexicana,Durango,24.042,-104.280,1870
JSG_Y_RMM_429,J2Teo,JSG_Y_RMM_429,Zea mays ssp. mexicana,Durango,24.085,-104.486,1875
JSG_SRV_606,J2Teo,JSG_SRV_606,Zea mays ssp. mexicana,Nabogame,26.223,-106.932,1951
JSG_SRV_604,J2Teo,JSG_SRV_604,Zea mays ssp. mexicana,Nabogame,26.228,-106.962,1920
LANDB314,LANDB,CIMMYTMA-4660,Zea mays spp mays,RGWHDT,-29.333,-54.167,274
LANDB316,LANDB,CIMMYTMA-4678,Zea mays spp mays,SDENRG,-28.033,-54.333,412
LANDB282,LANDB,CIMMYTMA-2674,Zea mays spp mays,AVMORO,-23.917,-51.867,339
LANDB090,LANDB,CIMMYTMA-26714,Zea mays spp mays,PERLIT,-23.780,-61.480,175
LANDB089,LANDB,CIMMYTMA-24483,Zea mays spp mays,PISING,-23.534,-65.765,3488
LANDB319,LANDB,CIMMYTMA-4811,Zea mays spp mays,PADENT,-23.400,-45.883,666
LANDB065,LANDB,CIMMYTMA-8025,Zea mays spp mays,,-23.200,-65.350,2973
LANDB331,LANDB,CIMMYTMA-5057,Zea mays spp mays,CATETO,-23.183,-45.883,594
LANDB066,LANDB,CIMMYTMA-14287,Zea mays spp mays,CUBAAM,-22.538,-64.405,559
LANDB242,LANDB,CIMMYTMA-28568,Zea mays spp mays,AM8HIL,-22.279,-64.689,1548
LANDB068,LANDB,CIMMYTMA-14283,Zea mays spp mays,CUBAAM,-21.917,-63.667,640
LANDB094,LANDB,CIMMYTMA-14311,Zea mays spp mays,APERLA,-21.550,-64.127,920
LANDB318,LANDB,CIMMYTMA-4781,Zea mays spp mays,PADENT,-21.533,-51.483,373
LANDB253,LANDB,CIMMYTMA-14335,Zea mays spp mays,PATILL,-21.400,-64.700,1890
LANDB067,LANDB,CIMMYTMA-14359,Zea mays spp mays,AYZUMA,-21.367,-65.233,2900
LANDB081,LANDB,CIMMYTMA-24848,Zea mays spp mays,KELLU,-20.816,-66.216,3937
LANDB093,LANDB,CIMMYTMA-14996,Zea mays spp mays,MOROCH,-20.783,-64.767,3100
LANDB082,LANDB,CIMMYTMA-14383,Zea mays spp mays,CUBAAM,-20.680,-63.292,755
LANDB248,LANDB,CIMMYTMA-14823,Zea mays spp mays,,-20.267,-64.084,1244
LANDB064,LANDB,CIMMYTMA-11854,Zea mays spp mays,POJOSO,-18.965,-57.828,120
LANDB062,LANDB,CIMMYTMA-11857,Zea mays spp mays,,-18.346,-59.591,613
LANDB063,LANDB,CIMMYTMA-15009,Zea mays spp mays,AYZUMA,-18.183,-65.083,2520
LANDB237,LANDB,CIMMYTMA-14214,Zea mays spp mays,AYZUMA,-17.951,-64.767,1800
LANDB058,LANDB,CIMMYTMA-16874,Zea mays spp mays,,-17.898,-63.308,516
LANDB057,LANDB,CIMMYTMA-15032,Zea mays spp mays,,-17.550,-65.833,2725
LANDB061,LANDB,CIMMYTMA-24949,Zea mays spp mays,,-17.451,-70.051,3206
LANDB100,LANDB,CIMMYTMA-28912,Zea mays spp mays,CUBAAM,-17.417,-60.667,324
LANDB099,LANDB,CIMMYTMA-18676,Zea mays spp mays,,-16.500,-68.150,3929
LANDB086,LANDB,CIMMYTMA-16818,Zea mays spp mays,,-14.660,-75.219,236
LANDB250,LANDB,CIMMYTMA-17308,Zea mays spp mays,,-14.650,-68.591,1920
LANDB104,LANDB,CIMMYTMA-17281,Zea mays spp mays,,-14.390,-65.195,149
LANDB085,LANDB,CIMMYTMA-24902,Zea mays spp mays,,-13.951,-71.745,3061
LANDB103,LANDB,CIMMYTMA-12231,Zea mays spp mays,CHUNCH,-13.650,-72.900,2154
LANDB107,LANDB,CIMMYTMA-18242,Zea mays spp mays,PISCCO,-13.420,-72.209,3326
LANDB108,LANDB,CIMMYTMA-16832,Zea mays spp mays,,-12.733,-76.467,260
LANDB332,LANDB,CIMMYTMA-5084,Zea mays spp mays,PADENT,-12.651,-39.109,201
LANDB069,LANDB,CIMMYTMA-12291,Zea mays spp mays,,-12.635,-74.865,3263
LANDB070,LANDB,CIMMYTMA-9022,Zea mays spp mays,PIRICI,-12.624,-73.095,751
LANDB074,LANDB,CIMMYTMA-9025,Zea mays spp mays,ENANO,-12.000,-70.250,234
LANDB073,LANDB,CIMMYTMA-24925,Zea mays spp mays,SNJERO,-11.904,-75.322,3315
LANDB076,LANDB,CIMMYTMA-26034,Zea mays spp mays,,-10.333,-74.900,252
LANDB285,LANDB,CIMMYTMA-2899,Zea mays spp mays,TUXPEN,-10.283,-36.600,9
LANDB101,LANDB,CIMMYTMA-12085,Zea mays spp mays,,-9.385,-77.240,3524
LANDB102,LANDB,CIMMYTMA-14588,Zea mays spp mays,,-9.029,-75.513,306
LANDB080,LANDB,CIMMYTMA-8993,Zea mays spp mays,COLORA,-8.597,-78.732,14
LANDB059,LANDB,CIMMYTMA-18202,Zea mays spp mays,,-8.563,-77.773,3412
LANDB060,LANDB,CIMMYTMA-14578,Zea mays spp mays,,-8.445,-76.472,580
LANDB105,LANDB,CIMMYTMA-12342,Zea mays spp mays,SHAJAT,-7.804,-78.042,3217
LANDB106,LANDB,CIMMYTMA-26062,Zea mays spp mays,,-7.174,-76.693,269
LANDB243,LANDB,CIMMYTMA-18195,Zea mays spp mays,MORCAJ,-6.633,-78.250,1730
LANDB071,LANDB,CIMMYTMA-24894,Zea mays spp mays,,-6.550,-78.650,2391
LANDB238,LANDB,CIMMYTMA-14575,Zea mays spp mays,,-5.931,-77.237,1000
LANDB247,LANDB,CIMMYTMA-12388,Zea mays spp mays,,-5.330,-79.431,1978
LANDB088,LANDB,CIMMYTMA-26035,Zea mays spp mays,,-4.873,-80.711,49
LANDB087,LANDB,CIMMYTMA-12440,Zea mays spp mays,,-4.636,-79.710,2641
LANDB286,LANDB,CIMMYTMA-2978,Zea mays spp mays,CATETO,-3.812,-38.694,43
LANDB091,LANDB,CIMMYTMA-13311,Zea mays spp mays,MEZCLA,-3.620,-79.237,2497
LANDB092,LANDB,CIMMYTMA-10248,Zea mays spp mays,,-2.761,-79.747,2
LANDB254,LANDB,CIMMYTMA-15732,Zea mays spp mays,,-1.399,-78.426,1837
LANDB084,LANDB,CIMMYTMA-17379,Zea mays spp mays,,-1.066,-80.440,36
LANDB083,LANDB,CIMMYTMA-21797,Zea mays spp mays,MISHCA,-0.148,-78.458,2890
LANDB249,LANDB,CIMMYTMA-15733,Zea mays spp mays,,0.085,-78.743,1563
LANDB140,LANDB,CIMMYTMA-3138,Zea mays spp mays,ANDAQU,1.523,-75.183,500
LANDB139,LANDB,CIMMYTMA-3176,Zea mays spp mays,COMUN,4.517,-75.633,1535
LANDB078,LANDB,CIMMYTMA-19738,Zea mays spp mays,,5.320,-74.920,840
LANDB077,LANDB,CIMMYTMA-22843,Zea mays spp mays,SABANE,5.400,-73.101,2150
LANDB142,LANDB,CIMMYTMA-3190,Zea mays spp mays,COSTEN,8.317,-75.150,30
LANDB141,LANDB,CIMMYTMA-3202,Zea mays spp mays,PUYA,10.000,-74.000,27
LANDB290,LANDB,CIMMYTMA-3877,Zea mays spp mays,CANILL,12.030,-61.749,71
LANDB279,LANDB,CIMMYTMA-2458,Zea mays spp mays,CANILL,12.200,-61.630,63
LANDB166,LANDB,CIMMYTMA-2500,Zea mays spp mays,SALVAD,14.860,-92.080,233
LANDB143,LANDB,CIMMYTMA-743,Zea mays spp mays,TEPECI,15.421,-92.900,35
LANDB213,LANDB,CIMMYTMA-787,Zea mays spp mays,,16.329,-91.943,1494
LANDB004,LANDB,CIMMYTMA-25027,Zea mays spp mays,ZAPCHI,16.479,-95.001,28
LANDB138,LANDB,CIMMYTMA-266,Zea mays spp mays,ZAPCHI,16.580,-94.602,79
LANDB012,LANDB,CIMMYTMA-25041,Zea mays spp mays,OLOTIL,16.700,-93.717,547
LANDB003,LANDB,CIMMYTMA-27432,Zea mays spp mays,,16.750,-92.630,2131
LANDB209,LANDB,CIMMYTMA-250,Zea mays spp mays,BOLITA,16.826,-96.676,1526
LANDB049,LANDB,CIMMYTMA-20218,Zea mays spp mays,BOLITA,16.900,-96.267,2164
LANDB205,LANDB,CIMMYTMA-20244,Zea mays spp mays,BOLITA,17.061,-96.810,1626
LANDB018,LANDB,CIMMYTMA-17793,Zea mays spp mays,,17.083,-89.133,97
LANDB011,LANDB,CIMMYTMA-6081,Zea mays spp mays,CONICO,17.191,-97.867,2338
LANDB017,LANDB,CIMMYTMA-13920,Zea mays spp mays,,17.450,-97.217,2083
LANDB050,LANDB,CIMMYTMA-16261,Zea mays spp mays,,17.561,-101.262,52
LANDB274,LANDB,CIMMYTMA-1334,Zea mays spp mays,STCROI,17.718,-64.707,31
LANDB299,LANDB,CIMMYTMA-3975,Zea mays spp mays,CHANDE,17.718,-64.707,31
LANDB273,LANDB,CIMMYTMA-1326,Zea mays spp mays,CHANDE,18.059,-66.399,160
LANDB002,LANDB,CIMMYTMA-5460,Zea mays spp mays,TUXPEN,18.350,-100.650,245
LANDB271,LANDB,CIMMYTMA-1312,Zea mays spp mays,CANILL,18.559,-74.264,167
LANDB052,LANDB,CIMMYTMA-686,Zea mays spp mays,TUXPEN,18.590,-95.437,30
LANDB014,LANDB,CIMMYTMA-17852,Zea mays spp mays,TUXPEN,18.717,-99.367,952
LANDB160,LANDB,CIMMYTMA-1374,Zea mays spp mays,PALOME,18.970,-99.400,2445
LANDB001,LANDB,CIMMYTMA-10234,Zea mays spp mays,CACAHUACINTLE,19.000,-97.383,2600
LANDB159,LANDB,CIMMYTMA-19359,Zea mays spp mays,CONICO,19.030,-100.030,1956
LANDB225,LANDB,CIMMYTMA-19986,Zea mays spp mays,MUSHIT,19.083,-97.033,1486
LANDB128,LANDB,MENDEZ,Zea mays spp mays,,19.165,-98.988,2670
LANDB127,LANDB,MENDEZ,Zea mays spp mays,,19.165,-98.988,2669
LANDB122,LANDB,MENDEZ,Zea mays spp mays,,19.167,-99.025,2793
LANDB131,LANDB,MENDEZ,Zea mays spp mays,,19.173,-98.957,2753
LANDB118,LANDB,MENDEZ,Zea mays spp mays,,19.176,-99.075,2852
LANDB133,LANDB,MENDEZ,Zea mays spp mays,,19.182,-98.974,2540
LANDB123,LANDB,MENDEZ,Zea mays spp mays,,19.186,-99.097,2856
LANDB134,LANDB,MENDEZ,Zea mays spp mays,,19.187,-99.118,2780
LANDB126,LANDB,MENDEZ,Zea mays spp mays,,19.188,-99.107,2797
LANDB125,LANDB,MENDEZ,Zea mays spp mays,,19.188,-99.095,2789
LANDB124,LANDB,MENDEZ,Zea mays spp mays,,19.189,-99.095,2789
LANDB120,LANDB,MENDEZ,Zea mays spp mays,,19.189,-99.067,2651
LANDB115,LANDB,MENDEZ,Zea mays spp mays,,19.189,-99.168,2849
LANDB121,LANDB,MENDEZ,Zea mays spp mays,,19.193,-99.083,2726
LANDB119,LANDB,MENDEZ,Zea mays spp mays,,19.193,-99.083,2725
LANDB296,LANDB,CIMMYTMA-3941,Zea mays spp mays,CHANDE,19.197,-70.021,65
LANDB112,LANDB,MENDEZ,Zea mays spp mays,,19.200,-99.130,2565
LANDB116,LANDB,MENDEZ,Zea mays spp mays,,19.205,-99.158,2815
LANDB114,LANDB,MENDEZ,Zea mays spp mays,,19.211,-99.145,2798
LANDB113,LANDB,MENDEZ,Zea mays spp mays,,19.212,-99.193,2842
LANDB130,LANDB,MENDEZ,Zea mays spp mays,,19.215,-99.093,2565
LANDB109,LANDB,MENDEZ,Zea mays spp mays,,19.217,-99.029,2520
LANDB129,LANDB,MENDEZ,Zea mays spp mays,,19.217,-99.093,2567
LANDB137,LANDB,MENDEZ,Zea mays spp mays,,19.232,-99.211,2930
LANDB135,LANDB,MENDEZ,Zea mays spp mays,,19.236,-99.025,2502
LANDB132,LANDB,MENDEZ,Zea mays spp mays,,19.237,-98.984,2242
LANDB117,LANDB,MENDEZ,Zea mays spp mays,,19.237,-98.984,2242
LANDB146,LANDB,CIMMYTMA-5618,Zea mays spp mays,MUSHIT,19.280,-101.630,2293
LANDB165,LANDB,CIMMYTMA-16446,Zea mays spp mays,PALOME,19.280,-97.330,2514
LANDB053,LANDB,CIMMYTMA-7584,Zea mays spp mays,CONICO,19.283,-98.433,2261
LANDB136,LANDB,MENDEZ,Zea mays spp mays,,19.300,-98.994,2289
LANDB111,LANDB,MENDEZ,Zea mays spp mays,,19.303,-99.034,2261
LANDB110,LANDB,MENDEZ,Zea mays spp mays,,19.303,-99.034,2262
LANDB051,LANDB,CIMMYTMA-26945,Zea mays spp mays,,19.317,-97.917,2492
LANDB054,LANDB,CIMMYTMA-23180,Zea mays spp mays,,19.332,-103.732,720
LANDB158,LANDB,CIMMYTMA-16007,Zea mays spp mays,CONICO,19.350,-99.800,2636
LANDB031,LANDB,CIMMYTMA-5613,Zea mays spp mays,MUSHIT,19.499,-101.583,2280
LANDB163,LANDB,CIMMYTMA-5626,Zea mays spp mays,ARROAM,19.510,-97.200,3017
LANDB145,LANDB,CIMMYTMA-5616,Zea mays spp mays,MUSHIT,19.520,-101.730,2188
LANDB147,LANDB,CIMMYTMA-9187,Zea mays spp mays,CHALQU,19.520,-101.220,2229
LANDB161,LANDB,CIMMYTMA-1531,Zea mays spp mays,PALOME,19.540,-97.250,2451
LANDB152,LANDB,CIMMYTMA-5599,Zea mays spp mays,MUSHIT,19.570,-102.270,2416
LANDB164,LANDB,CIMMYTMA-5638,Zea mays spp mays,ARROAM,19.620,-97.170,2552
LANDB150,LANDB,CIMMYTMA-5331,Zea mays spp mays,TUXPEN,19.630,-102.500,1298
LANDB013,LANDB,CIMMYTMA-5606,Zea mays spp mays,CACAHU,19.650,-102.267,2287
LANDB154,LANDB,CIMMYTMA-1467,Zea mays spp mays,CONICO,19.650,-100.590,2180
LANDB148,LANDB,CIMMYTMA-1456,Zea mays spp mays,CHALQU,19.670,-101.920,2430
LANDB039,LANDB,CIMMYTMA-1398,Zea mays spp mays,CHALQUENO,19.683,-99.133,2256
LANDB045,LANDB,CIMMYTMA-8102,Zea mays spp mays,PALOME,19.710,-97.240,2220
LANDB034,LANDB,CIMMYTMA-2345,Zea mays spp mays,TUXPEN,19.855,-96.708,372
LANDB033,LANDB,CIMMYTMA-18374,Zea mays spp mays,,19.970,-99.520,2418
LANDB203,LANDB,CIMMYTMA-1479,Zea mays spp mays,TABLON,19.983,-102.300,1568
LANDB029,LANDB,CIMMYTMA-25151,Zea mays spp mays,,20.176,-100.139,2674
LANDB046,LANDB,CIMMYTMA-7015,Zea mays spp mays,TUXPEN,20.317,-105.333,655
LANDB032,LANDB,CIMMYTMA-3229,Zea mays spp mays,TUXPEN,20.320,-96.870,5
LANDB278,LANDB,CIMMYTMA-2445,Zea mays spp mays,FTCUBA,20.677,-75.729,20
LANDB009,LANDB,CIMMYTMA-1535,Zea mays spp mays,CONNOR,20.700,-99.800,2039
LANDB030,LANDB,CIMMYTMA-25289,Zea mays spp mays,,20.800,-104.400,800
LANDB027,LANDB,CIMMYTMA-21332,Zea mays spp mays,CELAYA,20.817,-102.667,2017
LANDB019,LANDB,CIMMYTMA-21313,Zea mays spp mays,CELAYA,21.017,-102.167,2055
LANDB041,LANDB,CIMMYTMA-554,Zea mays spp mays,CELAYA,21.017,-101.250,2064
LANDB056,LANDB,CIMMYTMA-20752,Zea mays spp mays,CONICO,21.062,-98.870,436
LANDB026,LANDB,CIMMYTMA-3266,Zea mays spp mays,TEPECI,21.100,-97.750,88
LANDB010,LANDB,CIMMYTMA-7026,Zea mays spp mays,TUXPEN,21.200,-105.167,8
LANDB275,LANDB,CIMMYTMA-2428,Zea mays spp mays,TUSON,21.200,-76.617,11
LANDB042,LANDB,CIMMYTMA-547,Zea mays spp mays,TUXPEN,21.445,-99.632,562
LANDB025,LANDB,CIMMYTMA-13771,Zea mays spp mays,,21.483,-101.217,2091
LANDB028,LANDB,CIMMYTMA-25845,Zea mays spp mays,TUXPEN,21.517,-98.383,42
LANDB020,LANDB,CIMMYTMA-7076,Zea mays spp mays,BOFO,21.717,-104.883,177
LANDB021,LANDB,CIMMYTMA-16642,Zea mays spp mays,CELAYA,21.883,-101.583,2213
LANDB008,LANDB,CIMMYTMA-23628,Zea mays spp mays,CONICO,21.933,-100.000,994
LANDB022,LANDB,CIMMYTMA-23971,Zea mays spp mays,BOFO,22.274,-104.470,648
LANDB211,LANDB,CIMMYTMA-6939,Zea mays spp mays,REVENT,22.395,-103.737,1358
LANDB276,LANDB,CIMMYTMA-2438,Zea mays spp mays,FTCUBA,22.417,-83.733,79
LANDB048,LANDB,CIMMYTMA-18888,Zea mays spp mays,TABLON,22.417,-105.462,11
LANDB007,LANDB,CIMMYTMA-19483,Zea mays spp mays,CONNOR,22.903,-103.478,2019
LANDB047,LANDB,CIMMYTMA-14017,Zea mays spp mays,,23.133,-101.117,2043
LANDB037,LANDB,CIMMYTMA-13374,Zea mays spp mays,CONNOR,24.470,-104.121,2030
LANDB038,LANDB,CIMMYTMA-861,Zea mays spp mays,CHAPAL,24.824,-107.460,46
LANDB024,LANDB,CIMMYTMA-449,Zea mays spp mays,TUXPEN,28.270,-100.726,356
LANDB015,LANDB,CIMMYTMA-21113,Zea mays spp mays,CELAYA,28.533,-106.633,2141
LANDB023,LANDB,CIMMYTMA-21154,Zea mays spp mays,CONNOR,28.550,-107.500,2046
