Order,Accession,Country,Longitude,Latitude,Altitude,Phosphorus
97,PI 533998,,12.03333,31.15,1841,20
98,PI 534009,IND,12.03333,31.15,2964,88
99,PI 534021,IND,12.03333,31.15,2481,77
100,PI 534028,IND,12.03444,25.1725,2983,94
101,PI 534037,TCD,12.0396333,-1.289266667,2982,92
102,PI 534046,,12.0396333,-1.289266667,2524,60
103,PI 534047,,12.039999,30.520001,1672,59
104,PI 534053,UGA,12.04361111,10.99166667,2586,95
105,PI 534054,KEN,12.04361111,10.99166667,2422,5
106,PI 534063,NGA,12.05,29.66667,2510,61
107,PI 534070,NGA,12.05,30.21667,2085,94
108,PI 534075,NGA,12.05,29.66667,2197,61
109,PI 534079,NGA,12.05,29.66667,2102,93
111,PI 534092,NGA,12.05,29.66667,2149,70
112,PI 534096,MLI,14.3166667,6.133333333,1646,36
113,PI 534097,JPN,14.3166667,6.133333333,2707,58
114,PI 534099,JPN,14.3166667,6.133333333,2976,2
115,PI 534101,JPN,14.3166667,6.133333333,2359,17
116,PI 534104,UGA,14.3166667,6.133333333,1731,30
117,PI 534105,UGA,14.31667,22.5,2347,59
118,PI 534108,UGA,14.31667,22.33333,2623,93
119,PI 534112,IND,14.319999,44.549999,2019,93
120,PI 534114,PAK,14.319999,44.549999,1716,61
121,PI 534115,ETH,14.319999,44.549999,2757,30
122,PI 534116,ETH,-30.559482,22.937506,2703,48
123,PI 534117,UGA,-30.409999,27.719999,2839,77
124,PI 534123,ETH,-30.020242,27.549999,1879,3
125,PI 534124,,-30.018319,27.548851,1871,39
126,PI 534127,,-30.018319,27.548851,1754,4
127,PI 534128,,-30.018319,27.548851,2418,32
128,PI 534132,ETH,-29.6,30.379999,2997,77
129,PI 534133,ETH,-29.6,30.379999,2470,76
130,PI 534135,ETH,-29.6,30.379999,1849,44
131,PI 534137,SDN,-19.53333333,31.41666667,2695,80
132,PI 534138,SDN,-17.969999,31.329999,2319,40
133,PI 534139,SDN,-17.969999,31.329999,2780,99
134,PI 534144,UGA,-17.969999,31.329999,2987,56
135,PI 534145,,-17.96666667,31.33333333,1670,91
136,PI 534148,ETH,-17.96666667,31.33333333,1921,1
137,PI 534155,ETH,-17.96666667,31.33333333,2191,32
138,PI 534157,ETH,-17.96666667,31.33333333,2586,11
139,PI 534163,USA,-17.96666667,31.33333333,2237,60
140,PI 534167,,-17.96666667,31.33333333,1621,76
141,PI 540816,USA,-17.950007,19.530001,2606,94
142,PI 542406,USA,-17.950001,15.010001,1854,30
143,PI 542718,CHN,-17.930001,18.569999,2827,44
144,PI 548797,USA,-17.930001,18.569999,2807,58
145,PI 552856,USA,-17.930001,18.569999,1820,94
146,PI 552861,USA,-17.930001,18.569999,2640,94
148,PI 561072,USA,-20.840001,27.219999,2749,16
149,PI 561073,USA,-20.840001,27.219999,1664,21
150,PI 561472,HND,-20.840001,27.219999,2771,8
151,PI 564163,USA,-20.840001,27.219999,2002,82
152,PI 564164,USA,-20.840001,27.219999,2657,49
153,PI 564165,USA,-19.55,32.56666667,2758,96
154,PI 565121,ZWE,-19.55,30.26666667,1731,68
155,PI 566819,USA,-19.549999,32.779998,2390,22
156,PI 574455,USA,-76.90747,-88.30349879,2959,83
157,PI 576130,IND,-76.90747,-88.30349879,2250,18
158,PI 576332,CHN,-34.466666,-57.833333,1689,1
159,PI 576333,USA,-33.883055,151.216666,2160,34
160,PI 576337,UGA,-30.559482,22.937506,1789,7
161,PI 576339,ZWE,-30.559482,22.937506,2099,76
162,PI 576340,ZAF,-30.559482,22.937506,1618,92
163,PI 576345,ZAF,-30.409999,27.719999,1993,94
164,PI 576347,USA,-30.020242,27.549999,2551,18
165,PI 576348,USA,-30.018319,27.548851,2530,67
166,PI 576349,USA,-30.018319,27.548851,2846,84
168,PI 576352,BWA,-30.018319,27.548851,1731,22
169,PI 576359,IND,-29.6,30.379999,1573,25
170,PI 576364,IND,-29.6,30.379999,2722,65
171,PI 576366,IND,-29.6,30.379999,1619,85
172,PI 576373,JPN,-29.6,30.379999,1746,4
173,PI 576375,ETH,-29.530006,28.149999,1736,89
174,PI 576376,ETH,-29.530006,28.149999,1791,21
175,PI 576380,ETH,-29.530006,28.149999,2227,27
176,PI 576381,ETH,-29.530006,28.149999,2436,68
177,PI 576385,NGA,-29.530006,28.149999,2528,52
178,PI 576386,UGA,-29.530006,28.149999,2518,85
179,PI 576387,SDN,-29.5,28,2308,100
180,PI 576390,IND,-29.5,28,2463,66
181,PI 576391,IND,-29.5,28,2093,33
182,PI 576393,ETH,-29.5,28,1722,100
183,PI 576394,SDN,-29.5,28,2901,73
184,PI 576396,UGA,-29.5,28,2118,51
185,PI 576399,,-29.319999,27.479999,2238,55
186,PI 576401,IND,-29.319999,27.479999,2133,85
187,PI 576418,NGA,-29.149999,31.059999,1896,38
188,PI 576422,ZAF,-23.833333,31.5,2815,4
189,PI 576425,ETH,-23.833333,31.5,2026,42
190,PI 576426,ETH,-20.91666667,29,2347,12
191,PI 576428,ETH,-20.91666667,29,2281,72
192,PI 576434,NGA,-20.85,30.2,1911,32
193,PI 576435,UGA,-20.85,30.2,2581,70
194,PI 576437,BRA,-20.85,30.2,2426,77
195,PI 585291,USA,-20.85,32.26666667,2512,98
196,PI 585295,USA,-20.840001,27.219999,2998,32
197,PI 595699,USA,-20.840001,27.219999,1898,47
198,PI 595702,USA,-20.840001,27.219999,1715,55
199,PI 595714,USA,-20.840001,27.219999,2649,26
200,PI 595718,USA,-20.840001,27.219999,2030,83
201,PI 595720,USA,-19.55,32.56666667,2044,80
202,PI 595739,USA,-19.55,30.26666667,2770,53
203,PI 595740,USA,-19.549999,32.779998,2337,15
204,PI 595741,USA,-19.53333333,31.36666667,2132,87
205,PI 595743,USA,-19.53333333,31.41666667,1940,67
206,PI 595744,USA,-19.53333333,31.41666667,2679,40
207,PI 595745,USA,-19.53333333,31.41666667,1820,15
208,PI 597945,USA,-17.969999,31.329999,2969,35
209,PI 597946,USA,-17.969999,31.329999,1733,58
210,PI 597949,USA,-17.969999,31.329999,2482,11
211,PI 597950,USA,-17.96666667,31.33333333,2811,76
212,PI 597951,USA,-17.96666667,31.33333333,2805,71
213,PI 597952,USA,-17.96666667,31.33333333,1960,82
214,PI 597957,USA,-17.96666667,31.33333333,1697,17
215,PI 597958,USA,-17.96666667,31.33333333,2902,97
216,PI 597960,USA,-17.96666667,31.33333333,1961,99
217,PI 597961,USA,-17.96666667,31.33333333,2224,61
218,PI 597964,USA,-17.950007,19.530001,2294,56
219,PI 597965,USA,-17.950001,15.010001,2897,91
220,PI 597966,USA,-17.930001,18.569999,2929,73
221,PI 597967,USA,-17.930001,18.569999,1930,60
222,PI 597968,USA,-17.930001,18.569999,2436,89
223,PI 597971,USA,-17.930001,18.569999,2174,28
224,PI 597972,USA,-17.930001,18.569999,2574,62
225,PI 597973,USA,-17.920001,13.75,1998,89
226,PI 597976,USA,-0.500002,34.800007,2385,100
227,PI 597980,USA,-0.500002,34.800007,1500,85
228,PI 597982,USA,-0.5,34.380001,2177,90
229,PI 598069,USA,-0.5,37.283333,1716,86
230,PI 598070,USA,-0.5,37.283333,2921,86
231,PI 601816,MLI,-0.5,37.283333,1910,93
232,PI 607931,USA,8.7933,11.2727,2761,23
233,PI 609456,MLI,8.7934,11.2727,2272,7
235,PI 629034,USA,8.7934,11.2728,2303,77
236,PI 629040,USA,8.797027,1.064391,1857,16
237,PI 629059,USA,8.8,38.439998,2864,19
238,PI 641824,,8.8,38.439998,2241,3
239,PI 641836,,10.37533,11.3814567,2583,27
240,PI 641849,,10.37533,11.3814567,2664,30
241,PI 641874,,10.37533,11.3814567,2542,91
242,PI 642791,USA,10.375345,11.381425,1519,20
243,PI 642793,USA,10.38,8.579999,1748,54
244,PI 642992,,10.380001,12.800001,2988,39
245,PI 642998,,10.380001,12.800001,1879,25
246,PI 651492,USA,10.380001,12.800001,1971,56
247,PI 651496,,10.380001,12.800001,2262,21
248,PI 653616,USA,10.380001,12.800001,2695,38
249,PI 653617,USA,10.380001,12.800001,2523,0
250,PI 655970,USA,12.03333,31.15,2377,73
252,PI 655972,USA,12.03333,31.15,1720,47
253,PI 655973,USA,12.03333,31.15,2152,26
254,PI 655974,USA,12.03333,31.15,1985,72
255,PI 655975,USA,12.03333,31.15,2779,66
256,PI 655976,USA,12.03333,31.15,1539,88
257,PI 655977,USA,12.03444,25.1725,2317,43
258,PI 655978,USA,12.0396333,-1.289266667,2209,2
259,PI 655979,USA,12.0396333,-1.289266667,2785,94
260,PI 655980,USA,12.039999,30.520001,2256,41
261,PI 655981,MLI,12.04361111,10.99166667,2514,4
262,PI 655982,AUS,12.04361111,10.99166667,2570,69
263,PI 655983,,12.05,29.66667,1721,99
264,PI 655984,USA,12.05,30.21667,1933,87
265,PI 655985,USA,12.05,29.66667,1894,99
266,PI 655986,USA,12.05,29.66667,2318,22
267,PI 655987,USA,12.05,29.66667,1796,12
268,PI 655988,USA,14.3166667,6.133333333,2878,1
269,PI 655989,USA,14.3166667,6.133333333,1839,15
270,PI 655990,USA,14.3166667,6.133333333,1708,66
271,PI 655991,USA,14.3166667,6.133333333,1568,39
272,PI 655992,USA,14.3166667,6.133333333,1501,90
273,PI 655993,USA,14.31667,22.5,2454,64
274,PI 655994,USA,14.31667,22.33333,2391,61
275,PI 655995,USA,14.319999,44.549999,2242,87
276,PI 655996,USA,14.319999,44.549999,1688,85
277,PI 655997,USA,14.319999,44.549999,2299,63
278,PI 655998,USA,-30.559482,22.937506,2814,68
279,PI 655999,USA,-30.409999,27.719999,2831,2
280,PI 656000,USA,-30.020242,27.549999,2053,1
281,PI 656001,USA,-30.018319,27.548851,2891,97
282,PI 656002,USA,-30.018319,27.548851,1801,80
283,PI 656003,USA,-30.018319,27.548851,1888,76
284,PI 656004,USA,-29.6,30.379999,2060,95
285,PI 656005,USA,-29.6,30.379999,2729,54
286,PI 656006,USA,-29.6,30.379999,2368,99
287,PI 656007,,-19.53333333,31.41666667,2421,18
288,PI 656008,SLV,-17.969999,31.329999,2670,39
289,PI 656009,USA,-17.969999,31.329999,1707,26
290,PI 656010,USA,-17.969999,31.329999,1535,0
291,PI 656011,USA,-17.96666667,31.33333333,2767,11
292,PI 656012,USA,-17.96666667,31.33333333,2543,76
293,PI 656013,CHN,-17.96666667,31.33333333,2062,20
294,PI 656014,,-17.96666667,31.33333333,1607,40
295,PI 656015,SDN,-17.96666667,31.33333333,1870,7
296,PI 656016,USA,-17.96666667,31.33333333,2268,63
297,PI 656017,USA,-17.950007,19.530001,2397,10
298,PI 656018,USA,-17.950001,15.010001,1649,17
299,PI 656019,USA,-17.930001,18.569999,2675,88
300,PI 656020,USA,-17.930001,18.569999,2920,65
301,PI 656021,,-17.930001,18.569999,2296,98
302,PI 656022,USA,-17.930001,18.569999,2495,24
303,PI 656023,,-20.840001,27.219999,2721,41
304,PI 656024,,-20.840001,27.219999,2334,5
305,PI 656025,CHN,-20.840001,27.219999,2042,64
306,PI 656026,,-20.840001,27.219999,2900,29
307,PI 656027,,-20.840001,27.219999,2167,28
308,PI 656028,BWA,-19.55,32.56666667,1973,78
309,PI 656029,USA,-19.55,30.26666667,2601,66
310,PI 656030,USA,-19.549999,32.779998,2933,69
311,PI 656031,,-17.950007,19.530001,1679,16
312,PI 656032,SEN,-17.950001,15.010001,2408,55
313,PI 656033,USA,-17.930001,18.569999,2005,37
314,PI 656034,,-17.930001,18.569999,2535,97
315,PI 656035,NER,-17.930001,18.569999,1905,73
316,PI 656036,,-17.930001,18.569999,2787,62
317,PI 656037,ZAF,-20.840001,27.219999,1561,11
318,PI 656038,,-20.840001,27.219999,2154,50
319,PI 656039,,-20.840001,27.219999,1732,40
320,PI 656040,,-20.840001,27.219999,2910,70
321,PI 656041,USA,-20.840001,27.219999,2227,99
322,PI 656042,,-19.55,32.56666667,2475,46
323,PI 656043,,-19.55,30.26666667,2329,77
324,PI 656044,ZAF,-19.549999,32.779998,2456,85
325,PI 656046,CHN,-29.6,30.379999,2508,54
326,PI 656047,IND,-29.530006,28.149999,1886,36
327,PI 656048,MLI,-29.530006,28.149999,2598,24
328,PI 656049,BWA,-29.530006,28.149999,2682,90
329,PI 656050,,-29.530006,28.149999,2274,76
330,PI 656051,NER,-29.530006,28.149999,1650,43
331,PI 656052,USA,-29.530006,28.149999,1532,59
332,PI 656053,USA,-29.5,28,1759,97
333,PI 656054,MLI,-29.5,28,1952,95
334,PI 656055,USA,-29.5,28,1636,29
335,PI 656056,USA,-29.5,28,2634,53
336,PI 656057,USA,-29.5,28,2509,79
337,PI 656058,USA,-29.5,28,2030,91
338,PI 656059,NIC,-29.319999,27.479999,2474,82
339,PI 656060,,-29.319999,27.479999,1642,35
340,PI 656061,IND,-29.149999,31.059999,2958,40
341,PI 656062,,-23.833333,31.5,2401,57
342,PI 656063,,-23.833333,31.5,2865,10
343,PI 656064,,-20.91666667,29,2797,33
344,PI 656065,,-20.91666667,29,1913,98
345,PI 656066,,-20.85,30.2,1917,42
346,PI 656067,,-20.85,30.2,2438,16
347,PI 656068,,-20.85,30.2,1656,54
348,PI 656069,,-29.6,30.379999,1875,66
349,PI 656070,,-29.530006,28.149999,2205,79
350,PI 656071,,-29.530006,28.149999,2055,45
351,PI 656072,,-29.530006,28.149999,1574,63
352,PI 656073,,-29.530006,28.149999,2460,74
353,PI 656074,,-29.530006,28.149999,2316,42
354,PI 656075,,-29.530006,28.149999,2237,17
355,PI 656076,,-29.5,28,2894,45
356,PI 656077,,-29.5,28,2940,50
357,PI 656078,,-29.5,28,2011,80
358,PI 656079,,-29.5,28,2611,15
359,PI 656080,,-29.5,28,2987,28
360,PI 656081,,-29.5,28,2295,0
361,PI 656082,,-29.319999,27.479999,2632,91
362,PI 656083,,-29.319999,27.479999,2852,37
364,PI 656085,,-29.149999,31.059999,2248,74
365,PI 656086,,-23.833333,31.5,2027,32
366,PI 656087,,-23.833333,31.5,2363,25
367,PI 656088,,-20.91666667,29,2094,1
368,PI 656089,,-20.91666667,29,1897,8
369,PI 656090,,-20.85,30.2,2258,58
370,PI 656091,,-20.85,30.2,1691,3
371,PI 656092,,-20.85,30.2,2477,7
372,PI 656093,,-23.833333,31.5,1507,45
373,PI 656094,,-20.91666667,29,2964,33
374,PI 656095,,-20.91666667,29,2624,64
375,PI 656096,,-20.85,30.2,2528,42
376,PI 656097,,-20.85,30.2,2439,75
377,PI 656098,,-20.85,30.2,2065,39
378,PI 656099,,-29.6,30.379999,2067,82
379,PI 656100,,-29.530006,28.149999,1823,100
380,PI 656101,,-29.530006,28.149999,2480,6
381,PI 656102,,-29.530006,28.149999,2788,92
382,PI 656103,,-29.530006,28.149999,2786,94
383,PI 656104,,-29.530006,28.149999,2057,9
384,PI 656105,,-17.920001,13.75,2556,100
385,PI 656106,,-0.500002,34.800007,1581,17
386,PI 656107,,-0.500002,34.800007,2361,41
387,PI 656108,,-0.5,34.380001,1916,14
388,PI 656109,,-0.5,37.283333,1597,35
389,PI 656110,,-0.5,37.283333,2425,35
390,PI 656111,,-0.5,37.283333,2087,29
391,PI 656112,,8.7933,11.2727,2672,17
392,PI 656113,,8.7934,11.2727,2338,90
393,PI 656114,,8.7934,11.2728,2757,37
394,PI 656115,,8.797027,1.064391,2179,17
395,PI 656116,,8.8,38.439998,1945,51
396,PI 656117,,8.8,38.439998,1737,36
398,PI 656119,,10.37533,11.3814567,1693,36
399,PI 656120,,10.37533,11.3814567,2884,93
400,PI 656121,,10.37533,11.3814567,1559,76
401,PI 659691,USA,-17.920001,13.75,2155,36
402,PI 659692,USA,-0.500002,34.800007,1616,74
403,PI 659693,,-0.500002,34.800007,1921,42
404,PI 659694,,-0.5,34.380001,2231,94
405,PI 659695,,-0.5,37.283333,2147,29
406,PI 659696,,-0.5,37.283333,2051,78
407,PI 659753,,-0.5,37.283333,1548,3
