Line-ID,Population,Accession-ID,Species,Race,Latitude,Longitude,Altitude
LANDB045,LANDB,CIMMYTMA-008102,Zea mays spp mays,PALOME,19.71,-97.24,2220
LANDB046,LANDB,CIMMYTMA-007015,Zea mays spp mays,TUXPEN,20.317,-105.333,655
LANDB047,LANDB,CIMMYTMA-014017,Zea mays spp mays,,23.133,-101.117,2043
LANDB048,LANDB,CIMMYTMA-018888,Zea mays spp mays,TABLON,22.417,-105.462,11
LANDB049,LANDB,CIMMYTMA-020218,Zea mays spp mays,BOLITA,16.9,-96.267,2164
LANDB050,LANDB,CIMMYTMA-016261,Zea mays spp mays,,17.561,-101.262,52
LANDB051,LANDB,CIMMYTMA-026945,Zea mays spp mays,,19.317,-97.917,2492
LANDB052,LANDB,CIMMYTMA-000686,Zea mays spp mays,TUXPEN,18.59,-95.437,30
LANDB053,LANDB,CIMMYTMA-007584,Zea mays spp mays,CONICO,19.283,-98.433,2261
LANDB054,LANDB,CIMMYTMA-023180,Zea mays spp mays,,19.332,-103.732,720
LANDB056,LANDB,CIMMYTMA-020752,Zea mays spp mays,CONICO,21.062,-98.87,436
LANDB057,LANDB,CIMMYTMA-015032,Zea mays spp mays,,-17.55,-65.833,2725
LANDB058,LANDB,CIMMYTMA-016874,Zea mays spp mays,,-17.898,-63.308,516
LANDB059,LANDB,CIMMYTMA-018202,Zea mays spp mays,,-8.563,-77.773,3412
LANDB060,LANDB,CIMMYTMA-014578,Zea mays spp mays,,-8.445,-76.472,580
LANDB061,LANDB,CIMMYTMA-024949,Zea mays spp mays,,-17.451,-70.051,3206
LANDB062,LANDB,CIMMYTMA-011857,Zea mays spp mays,,-18.346,-59.591,613
LANDB063,LANDB,CIMMYTMA-015009,Zea mays spp mays,AYZUMA,-18.183,-65.083,2520
LANDB064,LANDB,CIMMYTMA-011854,Zea mays spp mays,POJOSO,-18.965,-57.828,120
LANDB065,LANDB,CIMMYTMA-008025,Zea mays spp mays,,-23.2,-65.35,2973
LANDB066,LANDB,CIMMYTMA-014287,Zea mays spp mays,CUBAAM,-22.538,-64.405,559
LANDB067,LANDB,CIMMYTMA-014359,Zea mays spp mays,AYZUMA,-21.367,-65.233,2900
LANDB068,LANDB,CIMMYTMA-014283,Zea mays spp mays,CUBAAM,-21.917,-63.667,640
LANDB069,LANDB,CIMMYTMA-012291,Zea mays spp mays,,-12.635,-74.865,3263
LANDB070,LANDB,CIMMYTMA-009022,Zea mays spp mays,PIRICI,-12.624,-73.095,751
LANDB071,LANDB,CIMMYTMA-024894,Zea mays spp mays,,-6.55,-78.65,2391
LANDB073,LANDB,CIMMYTMA-024925,Zea mays spp mays,SNJERO,-11.904,-75.322,3315
LANDB074,LANDB,CIMMYTMA-009025,Zea mays spp mays,ENANO,-12,-70.25,234
LANDB076,LANDB,CIMMYTMA-026034,Zea mays spp mays,,-10.333,-74.9,252
LANDB077,LANDB,CIMMYTMA-022843,Zea mays spp mays,SABANE,5.4,-73.101,2150
LANDB078,LANDB,CIMMYTMA-019738,Zea mays spp mays,,5.32,-74.92,840
LANDB080,LANDB,CIMMYTMA-008993,Zea mays spp mays,COLORA,-8.597,-78.732,14
LANDB081,LANDB,CIMMYTMA-024848,Zea mays spp mays,KELLU,-20.816,-66.216,3937
LANDB082,LANDB,CIMMYTMA-014383,Zea mays spp mays,CUBAAM,-20.68,-63.292,755
LANDB083,LANDB,CIMMYTMA-021797,Zea mays spp mays,MISHCA,-0.148,-78.458,2890
LANDB084,LANDB,CIMMYTMA-017379,Zea mays spp mays,,-1.066,-80.44,36
LANDB085,LANDB,CIMMYTMA-024902,Zea mays spp mays,,-13.951,-71.745,3061
LANDB086,LANDB,CIMMYTMA-016818,Zea mays spp mays,,-14.66,-75.219,236
LANDB087,LANDB,CIMMYTMA-012440,Zea mays spp mays,,-4.636,-79.71,2641
LANDB088,LANDB,CIMMYTMA-026035,Zea mays spp mays,,-4.873,-80.711,49
LANDB089,LANDB,CIMMYTMA-024483,Zea mays spp mays,PISING,-23.534,-65.765,3488
LANDB090,LANDB,CIMMYTMA-026714,Zea mays spp mays,PERLIT,-23.78,-61.48,175
LANDB091,LANDB,CIMMYTMA-013311,Zea mays spp mays,MEZCLA,-3.62,-79.237,2497
LANDB092,LANDB,CIMMYTMA-010248,Zea mays spp mays,,-2.761,-79.747,2
LANDB093,LANDB,CIMMYTMA-014996,Zea mays spp mays,MOROCH,-20.783,-64.767,3100
LANDB094,LANDB,CIMMYTMA-014311,Zea mays spp mays,APERLA,-21.55,-64.127,920
LANDB099,LANDB,CIMMYTMA-018676,Zea mays spp mays,,-16.5,-68.15,3929
LANDB100,LANDB,CIMMYTMA-028912,Zea mays spp mays,CUBAAM,-17.417,-60.667,324
LANDB101,LANDB,CIMMYTMA-012085,Zea mays spp mays,,-9.385,-77.24,3524
LANDB102,LANDB,CIMMYTMA-014588,Zea mays spp mays,,-9.029,-75.513,306
LANDB103,LANDB,CIMMYTMA-012231,Zea mays spp mays,CHUNCH,-13.65,-72.9,2154
LANDB104,LANDB,CIMMYTMA-017281,Zea mays spp mays,,-14.39,-65.195,149
LANDB105,LANDB,CIMMYTMA-012342,Zea mays spp mays,SHAJAT,-7.804,-78.042,3217
LANDB106,LANDB,CIMMYTMA-026062,Zea mays spp mays,,-7.174,-76.693,269
LANDB107,LANDB,CIMMYTMA-018242,Zea mays spp mays,PISCCO,-13.42,-72.209,3326
LANDB108,LANDB,CIMMYTMA-016832,Zea mays spp mays,,-12.733,-76.467,260
LANDB109,LANDB,MENDEZ,Zea mays spp mays,ElCon,19.217,-99.029,2520
LANDB110,LANDB,MENDEZ,Zea mays spp mays,Con,19.303,-99.034,2262
LANDB111,LANDB,MENDEZ,Zea mays spp mays,VA8H,19.303,-99.034,2261
LANDB112,LANDB,MENDEZ,Zea mays spp mays,Con,19.2,-99.13,2565
LANDB113,LANDB,MENDEZ,Zea mays spp mays,ElChal-ElCon,19.212,-99.193,2842
LANDB114,LANDB,MENDEZ,Zea mays spp mays,Cah-ElChal,19.211,-99.145,2798
LANDB115,LANDB,MENDEZ,Zea mays spp mays,Cah,19.189,-99.168,2849
LANDB116,LANDB,MENDEZ,Zea mays spp mays,Cah,19.205,-99.158,2815
LANDB117,LANDB,MENDEZ,Zea mays spp mays,Chal,19.237,-98.984,2242
LANDB118,LANDB,MENDEZ,Zea mays spp mays,Chal,19.176,-99.075,2852
LANDB119,LANDB,MENDEZ,Zea mays spp mays,Chal,19.193,-99.083,2725
LANDB120,LANDB,MENDEZ,Zea mays spp mays,Chal,19.189,-99.067,2651
LANDB121,LANDB,MENDEZ,Zea mays spp mays,Chal,19.193,-99.083,2726
LANDB122,LANDB,MENDEZ,Zea mays spp mays,Chal-Mej,19.167,-99.025,2793
LANDB123,LANDB,MENDEZ,Zea mays spp mays,Con,19.186,-99.097,2856
LANDB124,LANDB,MENDEZ,Zea mays spp mays,Chal-Pal,19.189,-99.095,2789
LANDB125,LANDB,MENDEZ,Zea mays spp mays,Chal-Pal,19.188,-99.095,2789
LANDB126,LANDB,MENDEZ,Zea mays spp mays,ElChal-ElCon,19.188,-99.107,2797
LANDB127,LANDB,MENDEZ,Zea mays spp mays,ElCon,19.165,-98.988,2669
LANDB128,LANDB,MENDEZ,Zea mays spp mays,ElCon,19.165,-98.988,2670
LANDB129,LANDB,MENDEZ,Zea mays spp mays,Con,19.217,-99.093,2567
LANDB130,LANDB,MENDEZ,Zea mays spp mays,Con,19.215,-99.093,2565
LANDB131,LANDB,MENDEZ,Zea mays spp mays,ElChal-Cah,19.173,-98.957,2753
LANDB132,LANDB,MENDEZ,Zea mays spp mays,Chal,19.237,-98.984,2242
LANDB133,LANDB,MENDEZ,Zea mays spp mays,ElChal-Chal,19.182,-98.974,2540
LANDB134,LANDB,MENDEZ,Zea mays spp mays,ElCon-ElChal,19.187,-99.118,2780
LANDB135,LANDB,MENDEZ,Zea mays spp mays,Chal,19.236,-99.025,2502
LANDB136,LANDB,MENDEZ,Zea mays spp mays,Chal-Con,19.3,-98.994,2289
LANDB137,LANDB,MENDEZ,Zea mays spp mays,Cah,19.232,-99.211,2930
LANDB138,LANDB,CIMMYTMA-000266,Zea mays spp mays,ZAPCHI,16.58,-94.602,79
LANDB139,LANDB,CIMMYTMA-003176,Zea mays spp mays,COMUN,4.517,-75.633,1535
LANDB140,LANDB,CIMMYTMA-003138,Zea mays spp mays,ANDAQU,,,500
LANDB141,LANDB,CIMMYTMA-003202,Zea mays spp mays,PUYA,10,-74,27
LANDB142,LANDB,CIMMYTMA-003190,Zea mays spp mays,COSTEN,8.317,-75.15,30
LANDB143,LANDB,CIMMYTMA-000743,Zea mays spp mays,TEPECI,15.421,-92.9,35
LANDB145,LANDB,CIMMYTMA-005616,Zea mays spp mays,MUSHIT,19.52,-101.73,2188
LANDB146,LANDB,CIMMYTMA-005618,Zea mays spp mays,MUSHIT,19.28,-101.63,2293
LANDB147,LANDB,CIMMYTMA-009187,Zea mays spp mays,CHALQU,19.52,-101.22,2229
LANDB148,LANDB,CIMMYTMA-001456,Zea mays spp mays,CHALQU,19.67,-101.92,2430
LANDB150,LANDB,CIMMYTMA-005331,Zea mays spp mays,TUXPEN,19.63,-102.5,1298
LANDB152,LANDB,CIMMYTMA-005599,Zea mays spp mays,MUSHIT,19.57,-102.27,2416
LANDB154,LANDB,CIMMYTMA-001467,Zea mays spp mays,CONICO,19.65,-100.59,2180
LANDB158,LANDB,CIMMYTMA-016007,Zea mays spp mays,CONICO,19.35,-99.8,2636
LANDB159,LANDB,CIMMYTMA-019359,Zea mays spp mays,CONICO,19.03,-100.03,1956
LANDB160,LANDB,CIMMYTMA-001374,Zea mays spp mays,PALOME,18.97,-99.4,2445
LANDB161,LANDB,CIMMYTMA-001531,Zea mays spp mays,PALOME,19.54,-97.25,2451
LANDB163,LANDB,CIMMYTMA-005626,Zea mays spp mays,ARROAM,19.51,-97.2,3017
LANDB164,LANDB,CIMMYTMA-005638,Zea mays spp mays,ARROAM,19.62,-97.17,2552
LANDB165,LANDB,CIMMYTMA-016446,Zea mays spp mays,PALOME,19.28,-97.33,2514
LANDB166,LANDB,CIMMYTMA-002500,Zea mays spp mays,SALVAD,14.86,-92.08,233
LANDB203,LANDB,CIMMYTMA-001479,Zea mays spp mays,TABLON,19.983,-102.3,1568
LANDB205,LANDB,CIMMYTMA-020244,Zea mays spp mays,BOLITA,17.061,-96.81,1626
LANDB209,LANDB,CIMMYTMA-000250,Zea mays spp mays,BOLITA,16.826,-96.676,1526
LANDB210,LANDB,CIMMYTMA-021086,Zea mays spp mays,PERLA,29.26,-107.423,1861
LANDB211,LANDB,CIMMYTMA-006939,Zea mays spp mays,REVENT,22.395,-103.737,1358
LANDB213,LANDB,CIMMYTMA-000787,Zea mays spp mays,,16.329,-91.943,1494
LANDB215,LANDB,CIMMYTMA-006802,Zea mays spp mays,TUXPEN,28.612,-105.979,1425
LANDB219,LANDB,CIMMYTMA-006837,Zea mays spp mays,TABLON,28.967,-107.833,1870
LANDB225,LANDB,CIMMYTMA-019986,Zea mays spp mays,MUSHIT,19.083,-97.033,1486
LANDB227,LANDB,CIMMYTMA-021092,Zea mays spp mays,CELAYA,28.933,-107.567,1953
LANDB237,LANDB,CIMMYTMA-014214,Zea mays spp mays,AYZUMA,-17.951,-64.767,1800
LANDB238,LANDB,CIMMYTMA-014575,Zea mays spp mays,,-5.931,-77.237,1000
LANDB242,LANDB,CIMMYTMA-028568,Zea mays spp mays,AM8HIL,-22.279,-64.689,1548
LANDB243,LANDB,CIMMYTMA-018195,Zea mays spp mays,MORCAJ,-6.633,-78.25,1730
LANDB247,LANDB,CIMMYTMA-012388,Zea mays spp mays,,-5.33,-79.431,1978
LANDB248,LANDB,CIMMYTMA-014823,Zea mays spp mays,,-20.267,-64.084,1244
LANDB249,LANDB,CIMMYTMA-015733,Zea mays spp mays,,0.085,-78.743,1563
LANDB250,LANDB,CIMMYTMA-017308,Zea mays spp mays,,-14.65,-68.591,1920
LANDB253,LANDB,CIMMYTMA-014335,Zea mays spp mays,PATILL,-21.4,-64.7,1890
LANDB254,LANDB,CIMMYTMA-015732,Zea mays spp mays,,-1.399,-78.426,1837
LANDB271,LANDB,CIMMYTMA-001312,Zea mays spp mays,CANILL,18.559,-74.264,167
LANDB273,LANDB,CIMMYTMA-001326,Zea mays spp mays,CHANDE,18.059,-66.399,160
LANDB274,LANDB,CIMMYTMA-001334,Zea mays spp mays,STCROI,17.718,-64.707,31
LANDB275,LANDB,CIMMYTMA-002428,Zea mays spp mays,TUSON,21.2,-76.617,11
LANDB276,LANDB,CIMMYTMA-002438,Zea mays spp mays,FTCUBA,22.417,-83.733,79
LANDB278,LANDB,CIMMYTMA-002445,Zea mays spp mays,FTCUBA,20.677,-75.729,20
LANDB279,LANDB,CIMMYTMA-002458,Zea mays spp mays,CANILL,12.2,-61.63,63
LANDB282,LANDB,CIMMYTMA-002674,Zea mays spp mays,AVMORO,-23.917,-51.867,339
LANDB285,LANDB,CIMMYTMA-002899,Zea mays spp mays,TUXPEN,-10.283,-36.6,9
LANDB286,LANDB,CIMMYTMA-002978,Zea mays spp mays,CATETO,-3.812,-38.694,43
LANDB290,LANDB,CIMMYTMA-003877,Zea mays spp mays,CANILL,12.03,-61.749,71
LANDB296,LANDB,CIMMYTMA-003941,Zea mays spp mays,CHANDE,19.197,-70.021,65
LANDB299,LANDB,CIMMYTMA-003975,Zea mays spp mays,CHANDE,17.718,-64.707,31
LANDB314,LANDB,CIMMYTMA-004660,Zea mays spp mays,RGWHDT,-29.333,-54.167,274
LANDB316,LANDB,CIMMYTMA-004678,Zea mays spp mays,SDENRG,-28.033,-54.333,412
LANDB318,LANDB,CIMMYTMA-004781,Zea mays spp mays,PADENT,-21.533,-51.483,373
LANDB319,LANDB,CIMMYTMA-004811,Zea mays spp mays,PADENT,-23.4,-45.883,666
LANDB331,LANDB,CIMMYTMA-005057,Zea mays spp mays,CATETO,-23.183,-45.883,594
LANDB332,LANDB,CIMMYTMA-005084,Zea mays spp mays,PADENT,-12.651,-39.109,201
